child	parent
Francisellaceae_M0027_sp006227905_GCA_006227905.1	root
Francisellaceae_Fangia_hongkongensis_GCF_000379445.1	node1
node1	root
Francisellaceae_Facilibium_subflavum_GCF_003574485.1	node2
node2	node1
Francisellaceae_Fastidiosibacter_lacustris_GCF_003428155.1	node4
node4	node3
node3	node2
Francisellaceae_Caedibacter_taeniospiralis_GCF_002803295.2	node6
node6	node4
Francisellaceae_Allofrancisella_guangzhouensis_GCF_000815225.1	node7
node7	node5
node5	node3
Francisellaceae_Cysteiniphilum_halobium_GCF_003574425.1	node9
node9	node6
Francisellaceae_Allofrancisella_inopinata_GCF_012222965.1	node10
node10	node7
Francisellaceae_Allofrancisella_frigidaquae_GCF_012222825.1	node10
Francisellaceae_Pseudofrancisella_frigiditurris_GCF_001880225.1	node11
node11	node8
node8	node5
Francisellaceae_Pseudofrancisella_aestuarii_GCF_003574475.2	node11
Francisellaceae_Francisella_A_adeliensis_GCF_003290445.1	node12
node12	node8
Francisellaceae_Cysteiniphilum_marinum_GCF_014857925.1	node13
node13	node9
Francisellaceae_Cysteiniphilum_sp008711525_GCF_008711525.1	node15
node15	node13
Francisellaceae_Cysteiniphilum_litorale_GCF_003428165.1	node15
Francisellaceae_Francisella_sp000764555_GCF_000764555.1	node17
node17	node14
node14	node12
Francisellaceae_Francisella_salimarina_GCF_007923265.1	node19
node19	node16
node16	node14
Francisellaceae_Francisella_halioticida_GCF_002211785.1	node20
node20	node17
Francisellaceae_Francisella_tularensis_GCF_000008985.1	node21
node21	node18
node18	node16
Francisellaceae_Francisella_hispaniensis_GCF_001885235.1	node21
Francisellaceae_Francisella_opportunistica_GCF_003347135.1	node22
node22	node18
Francisellaceae_Francisella_philomiragia_GCF_000156715.1	node23
node23	node19
Francisellaceae_Francisella_uliginis_GCF_001895265.1	node24
node24	node20
Francisellaceae_Francisella_sp002095075_GCF_002095075.1	node25
node25	node22
Francisellaceae_Francisella_persica_GCF_001653955.1	node25
Francisellaceae_Francisella_orientalis_GCF_001042525.2	node26
node26	node23
Francisellaceae_Francisella_noatunensis_GCF_014844275.1	node26
Francisellaceae_Francisella_sp012224145_GCF_012224145.1	node27
node27	node24
Francisellaceae_Francisella_sp008711465_GCF_008711465.1	node27
